School Name,Address,Mobile Numbers,Phone Numbers
Aaruni Public School,"Dipatoli, Bariatu, Ranchi, Jharkhand 834009, India",9835124219,(0657) 2340757
Aarya Play School,"House No. 138, New A.G. Co-Operative Colony, Kadru, Ranchi, Jharkhand 834005, India",9835907100,(0657) 2286059
Academic Heights Public School - APHS,"Budhwa Mahadeo, Ananda Chowk, Hazaaribagh, Jharkhand 825301, India",9835054624,(0657) 2650623
Adarsh Bakshi Middle School,"17/L, 4-13, Golmuri, Jamshedpur, Jharkhand 831003, India",7643828111,(0657) 2423983
Adarsh Vidya Mandir,"Tiril Road, Kokar, Ranchi, Jharkhand 834001, India",9470959772,(0657) 2432904
Adarsh Vidya Niketan High School,"Chhotagouindpur, Close Acc. to Roma Jee Sakchi, Jamshedpur, Jharkhand 831001, India",9279005019,(0657) 2363185
Aditya Birla High School,"Muri, Ranchi, Jharkhand 835101, India",7250975663,(06546) 291910
Aditya Birla Public School - ABPS Rehla,"Ghanshyam Kunj, Garhwa Road, Rehla, Palamu, Jharkhand 822124, India",(0652) 2244147,(06553) 222107
Adivasi Balika Kalyan Kendra Vidyalaya,"Rajendra Nagar, New Ulidih Mango, Behind Shiv Mandir, Jamshedpur, Jharkhand 831012, India",9507037622,(0651) 2273354
ADL Society School,"Near Karim City College, Sakchi, Jamshedpur, Jharkhand 831001, India",9507037621,(0651) 2273346
ADLS Sunshine School,"Beside Karim City College, Sakchi, Jamshedpur, Jharkhand 831001, India",(06584) 222221,(0657) 2286574
Agrasen DAV Public School,"Bharechnagar, Ramgarh, Jharkhand 829146, India",9708039398,(0651) 2260408
All Saints School,"Hinoo Road, Ranchi, Jharkhand 834002, India",(06584) 262205,(0657) 2730622
American Kidz Play School,"Road No. 18, Jawahar Nagar, Mango (Near Chepa Pul), Jamshedpur, Jharkhand 831002, India",(06553) 256623,(0657) 2731325
Angela School,"6, Ramkrishna Colony, Cross Road, Bistupur, Jamshedpur, Jharkhand 831001, India",9234302109,(0657) 2730951
Angels' World School,"Near Jevar Jewelers, Beside Continental Pharmacy, Main Road, Ranchi, Jharkhand 834001, India",(06553) 256623,(0657) 2730951
Anthem Public School,"Hazaaribagh, Jharkhand 825301, India",(0651) 2506274,(0657) 2340757
